"TERM DESCRIPTION","TERM","SESSION","SESSION DESCRIPTION","DEPARTMENT","SUBJECT","COURSE","CLASS/SECTION NBR","COURSE DESCRIPTION","INSTRUCTOR NAME","GPA GRADES","TOTAL GRADES","AVG SECT GPA","AVG STDNT CUM GPA","PERCENT MAJORS","A%","B%","C%","D%","OTHER GRADES","A+","A","A-","B+","B","B-","C+","C","C-","D+","D","D-","F","W","WX","I","R","P","S","NY","NR","NC","OTHER","EFFECTIVE DATE",
"Spring 2019","4192","1","Regular Academic Session","AAAD","AAAD-A","100","4424","AF AM DANCE COMPNY FOUNDATIONS","Berry Jr,Stafford C","10","13","3.94","3.401","0","100.0","0.0","0.0","0.0","3","0","8","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","06-07-2019",
"Spring 2019","4192","1","Regular Academic Session","AAAD","AAAD-A","110","4425","AF AM CHORAL ENSEMBL FOUNDATNS","Wise,Raymond","16","24","3.581","3.069","0","62.5","31.3","6.3","0.0","8","6","2","2","3","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","06-07-2019",
"Spring 2019","4192","1","Regular Academic Session","AAAD","AAAD-A","113","10327","ATKINS LLC FOUNDATIONAL COURSE","Khan-Thomas,Zeba Yvonne","13","13","3.546","2.596","0","84.6","0.0","7.7","7.7","0","1","6","4","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","06-07-2019",
"Spring 2019","4192","1","Regular Academic Session","AAAD","AAAD-A","120","4426","SOUL REVUE FOUNDATIONS","Strong Jr,James Augustas","8","8","4","3.226","0","100.0","0.0","0.0","0.0","0","2","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-07-2019",
"Spring 2019","4192","1","Regular Academic Session","AAAD","AAAD-A","150","4427","SURV CULTR OF BLACK AMERICANS","Grim,Valerie","62","74","2.768","2.623","0","25.8","43.5","21.0","4.8","15","0","8","8","5","14","8","6","4","3","0","3","0","3","4","8","0","0","0","0","0","0","0","0","06-07-2019",
"Spring 2019","4192","1","Regular Academic Session","AAAD","AAAD-A","154","13229","HISTORY OF RACE IN AMERICAS","Person,Simone Rae","29","50","2.983","3.055","0","51.7","17.2","13.8","17.2","21","2","7","6","1","1","3","3","0","1","3","0","2","0","6","15","0","0","0","0","0","0","0","0","06-07-2019",
"Spring 2019","4192","1","Regular Academic Session","AAAD","AAAD-A","203","13723","STUDYING BLACKS OF NEW WORLD","Smith,Candis D","7","8","3.243","2.869","14.3","42.9","42.9","14.3","0.0","1","0","1","2","0","3","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","06-07-2019",
"Spring 2019","4192","1","Regular Academic Session","AAAD","AAAD-A","210","12693","BLACK WOMEN IN THE DIASPORA","Smith,Candis D","21","23","2.59","2.792","0","19.0","38.1","28.6","14.3","2","3","0","1","0","6","2","1","4","1","1","2","0","0","1","0","1","0","0","0","0","0","0","0","06-07-2019",
"Spring 2019","4192","1","Regular Academic Session","AAAD","AAAD-A","238","9103","COMMUNICATION IN BLACK AMERICA","Calloway-Thomas,Carolyn","25","40","2.296","2.802","6.1","16.0","12.0","60.0","0.0","18","0","0","4","3","0","0","10","4","1","0","0","0","3","7","7","1","0","0","0","0","0","0","0","06-07-2019",
"Spring 2019","4192","1","Regular Academic Session","AAAD","AAAD-A","249","9101","AFRICAN AMERICAN AUTOBIOGRAPHY","Amoah-Ramey,Nana Abena Dansowaa","17","22","3.106","3.088","10","47.1","23.5","29.4","0.0","5","0","4","4","1","1","2","3","0","2","0","0","0","0","3","2","0","0","0","0","0","0","0","0","06-07-2019",
