"TERM DESCRIPTION","TERM","SESSION","SESSION DESCRIPTION","DEPARTMENT","SUBJECT","COURSE","CLASS/SECTION NBR","COURSE DESCRIPTION","INSTRUCTOR NAME","GPA GRADES","TOTAL GRADES","AVG SECT GPA","AVG STDNT CUM GPA","PERCENT MAJORS","A%","B%","C%","D%","OTHER GRADES","A+","A","A-","B+","B","B-","C+","C","C-","D+","D","D-","F","W","WX","I","R","P","S","NY","NR","NC","OTHER","EFFECTIVE DATE",
"Spring 2013","4132","1","Regular Academic Session","AAAD","AAAD-A","100","20528","AFRICAN AMERICAN DANCE COMPANY","Rosa,Iris","  14","  21","4.000","2.915","0.0","100.0","0.0","0.0","0.0","7","  14","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   5","   0","06-07-2013",
"Spring 2013","4132","1","Regular Academic Session","AAAD","AAAD-A","110","20529","AFRICAN AMERCN CHORAL ENSEMBLE","Wise,Raymond","  14","  22","3.843","3.103","11.1","92.9","7.1","0.0","0.0","8","   0","   8","   5","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","   4","   0","06-07-2013",
"Spring 2013","4132","1","Regular Academic Session","AAAD","AAAD-A","120","20530","SOUL REVUE","Cooper,Tyron","  10","  13","4.000","3.134","0.0","100.0","0.0","0.0","0.0","3","   8","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","06-07-2013",
"Spring 2013","4132","1","Regular Academic Session","AAAD","AAAD-A","150","20532","SURV CULTR OF BLACK AMERICANS","McElroy,Frederick L."," 173"," 195","3.439","3.072","0.6","60.1","30.6","6.4","2.3","23","  22","  47","  35","  21","  25","   7","   5","   3","   3","   1","   1","   2","   1","   6","  16","   0","   0","   0","   0","   0","   0","   0","   0","06-07-2013",
"Spring 2013","4132","1","Regular Academic Session","AAAD","AAAD-A","154","33133","HISTORY OF RACE IN AMERICAS","Stanfield,John H.","  18","  60","2.539","2.735","0.0","27.8","33.3","22.2","0.0","45","   4","   1","   0","   0","   4","   2","   1","   3","   0","   0","   0","   0","   3","  13","  28","   1","   0","   0","   0","   0","   0","   0","   0","06-07-2013",
"Spring 2013","4132","1","Regular Academic Session","AAAD","AAAD-A","156","32816","JIM CROW AND APARTHEID","Williams,Vernon","  39","  46","3.608","2.966","2.4","66.7","28.2","5.1","0.0","7","   2","  16","   8","   8","   1","   2","   1","   1","   0","   0","   0","   0","   0","   3","   4","   0","   0","   0","   0","   0","   0","   0","   0","06-07-2013",
"Spring 2013","4132","1","Regular Academic Session","AAAD","AAAD-A","169","26863","INTRO TO AFRICAN AMERICAN LIT","Hamilton,Maria Eliza","  35","  45","3.951","3.074","0.0","94.3","5.7","0.0","0.0","10","  14","  18","   1","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  10","   0","   0","   0","   0","   0","   0","   0","   0","06-07-2013",
"Spring 2013","4132","1","Regular Academic Session","AAAD","AAAD-A","249","32818","AFRICAN AMERICAN AUTOBIOGRAPHY","Drieling,Claudia","  25","  38","3.736","3.029","4.0","80.0","16.0","4.0","0.0","13","   8","   7","   5","   2","   2","   0","   1","   0","   0","   0","   0","   0","   0","   0","  13","   0","   0","   0","   0","   0","   0","   0","   0","06-07-2013",
"Spring 2013","4132","1","Regular Academic Session","AAAD","AAAD-A","265","20537","MODRN SPORTS & AFRO-AMER EXPER","Sailes,Gary A."," 179"," 198","3.220","2.870","0.6","42.5","46.4","6.1","4.5","20","   0","  32","  44","  37","  32","  14","   3","   4","   4","   2","   4","   2","   1","   2","  17","   0","   0","   0","   0","   0","   0","   0","   0","06-07-2013",
"Spring 2013","4132","1","Regular Academic Session","AAAD","AAAD-A","278","25896","CONTEMPORARY BLACK FILM","Smith,April Faye","  31","  39","3.597","2.990","0.0","74.2","22.6","0.0","0.0","9","   7","  12","   4","   1","   4","   2","   0","   0","   0","   0","   0","   0","   1","   4","   4","   0","   0","   0","   0","   0","   0","   0","   0","06-07-2013",
"Spring 2013","4132","1","Regular Academic Session","AAAD","AAAD-A","295","30016","SURVEY OF HIP HOP","Orejuela,Fernando","  75","  92","2.969","3.024","1.3","24.0","50.7","24.0","1.3","17","   3","   5","  10","   9","  19","  10","  12","   3","   3","   1","   0","   0","   0","   4","  12","   0","   0","   1","   0","   0","   0","   0","   0","06-07-2013",
"Spring 2013","4132","1","Regular Academic Session","AAAD","AAAD-A","297","29045","POPULAR MUSIC OF BLACK AMERICA","Maultsby,Portia K.","  15","  26","2.473","2.818","9.5","20.0","26.7","40.0","13.3","11","   2","   0","   1","   0","   2","   2","   1","   5","   0","   0","   1","   1","   0","   5","   5","   1","   0","   0","   0","   0","   0","   0","   0","06-07-2013",
